"","V1"
"322",5.07086347007417e-08
"323",1.25925905953503e-07
"324",9.19893143896389e-08
"325",4.86269256699396e-08
"326",4.86269256699396e-08
"327",4.74815839412533e-08
"328",4.65982742052895e-08
"329",6.78498542393523e-08
"330",5.11631819918638e-08
"331",7.47260786312613e-08
"332",9.57418974702146e-08
"333",5.62215880999702e-08
"334",8.37794263627405e-08
"335",4.82452669948356e-08
"336",5.76053230704121e-08
"337",6.04050972749397e-08
"338",8.45238898647346e-08
"339",8.38196349261747e-08
"340",9.5355424667669e-08
"341",4.32312134369074e-08
"342",4.55361831012632e-08
"343",6.63674397228189e-08
"344",4.86269256699396e-08
"345",1.17793506970655e-07
"346",4.86269256699396e-08
"347",5.12151584097839e-08
"348",4.91569173954965e-08
"349",1.22427372681293e-07
"350",4.95162942262483e-08
"351",6.38389535721955e-08
"352",4.45361282027756e-08
"353",6.02806254530199e-08
"354",4.50295842178245e-08
"355",9.03939725557991e-08
"356",5.65077885953972e-08
"357",4.66748080055178e-08
"358",1.11210414177061e-07
"359",7.53195482369325e-08
"360",6.17246453304502e-08
"361",5.68089406323125e-08
"362",5.79327779848355e-08
"363",1.20459404688152e-07
"364",1.2327669543987e-07
"365",8.6055191758668e-08
"366",7.94077942582653e-08
"367",7.0672350117269e-08
"368",4.80446921634594e-08
"369",5.43824348515529e-08
"370",8.97118285573489e-08
"371",1.07026120207107e-07
"372",8.25702947213682e-08
"373",1.04424907381383e-07
"374",9.2172607687723e-08
"375",1.50028376819825e-07
"376",1.81961912202613e-07
"377",7.21181353460506e-08
"378",1.06226430354168e-07
"379",3.1307402351622e-07
"380",1.61138354562844e-07
"381",6.85276133442635e-08
"382",4.86269256699396e-08
"383",1.53636059448078e-07
"384",2.73309666359666e-07
"385",3.90073010110008e-07
"386",4.06297337616398e-07
"387",2.68038089970645e-07
"388",3.33830339520692e-07
"389",6.73989074498621e-08
"390",4.52238744848112e-08
"391",1.94973759678755e-07
"392",3.00210489462002e-07
"393",3.49338386279458e-07
"394",2.30112691640435e-07
"395",1.38591926332774e-07
"396",1.2859562479964e-07
"397",5.56875130613911e-08
"398",1.64117189189458e-07
"399",3.95437568701835e-07
"400",2.97384639012275e-07
"401",1.22828146254327e-07
"402",4.49014508408399e-08
"403",6.4212389389333e-08
"404",5.7837047709918e-08
"405",1.1442523164705e-07
"406",1.51947052005695e-07
"407",1.6758958903197e-07
"408",1.10700602365635e-07
"409",7.90280364557123e-08
"410",8.92699449711889e-08
"411",1.65831193481221e-07
"412",2.7713625939187e-07
"413",3.70581361229168e-07
"414",2.57702291650659e-07
"415",7.16142168641573e-08
"416",7.18678950961564e-08
"417",5.89691943075457e-08
"418",4.90049332420461e-07
"419",2.44401813672945e-07
"420",2.56262705595915e-07
"421",1.41297075581805e-07
"422",1.11719928530728e-07
"423",7.22795665326851e-08
"424",6.58842348975052e-08
"425",8.77955862171286e-08
"426",6.49733578297427e-08
"427",5.48610994654216e-07
"428",6.01782151185195e-07
"429",1.0723207710346e-07
"430",7.18604028906039e-08
"431",1.09655964822544e-07
"432",2.91649225289249e-07
"433",5.30854580955283e-07
"434",5.34807925409363e-07
"435",2.46763194541644e-07
"436",8.36242313044472e-08
"437",6.43573449978007e-08
"438",2.59524731590576e-07
"439",1.90196433824366e-07
"440",1.891913277362e-07
"441",7.87945142234772e-08
"442",1.08464402515476e-07
"443",7.33857157424467e-08
"444",1.44079287974055e-07
"445",1.0309176834794e-07
"446",8.88387594247846e-08
"447",8.54193018990833e-08
"448",1.70949667514016e-07
"449",8.8848740910822e-08
"450",1.04507218639837e-07
"451",6.92143660405027e-08
"452",6.83414493542885e-08
"453",8.79887221157554e-08
"454",9.97097328033326e-08
"455",4.59557996815537e-08
"456",1.86249565489523e-07
"457",4.59557996815537e-08
"458",1.67849765200437e-07
"459",4.86269256699396e-08
"460",6.42448347076587e-08
"461",1.0264294493756e-07
"462",9.37594803397129e-08
"463",9.01184336618092e-08
"464",4.86269256699396e-08
"465",4.65987359807609e-08
"466",4.86269256699396e-08
"467",4.86269256699396e-08
"468",5.07058213921596e-08
"469",1.90803083244397e-07
"470",1.55940861322677e-07
"471",8.90448832706935e-08
"472",1.96470074270939e-07
"473",4.86269256699396e-08
"474",4.86269256699396e-08
"475",4.98326563826233e-08
"476",4.86269256699396e-08
"477",7.53821546718197e-08
"478",4.86269256699396e-08
"479",1.07001472552143e-07
"480",7.30346938602141e-08
"481",9.47829905254511e-08
"482",3.07250433323208e-07
