YEAR,MO,DA,HR,LAT,LON,CO201500,CO01500
2015,9,22,6,-1.4020,103.6520,0.2745E-05,0.2747E-06
2015,9,22,6,-1.3520,103.6520,0.1581E-05,0.1889E-06
2015,9,22,6,-1.3020,103.6520,0.7753E-06,0.2021E-06
2015,9,22,6,-1.2520,103.6520,0.2251E-06,0.9329E-07
2015,9,22,6,-1.2020,103.6520,0.2501E-06,0.5286E-07
2015,9,22,6,-1.1520,103.6520,0.2501E-06,0.8209E-07
2015,9,22,6,-1.1020,103.6520,0.4501E-07,0.4042E-07
2015,9,22,6,-1.0520,103.6520,0.9003E-07,0.5597E-08
2015,9,22,6,-1.8520,103.7020,0.0000E+00,0.1244E-07
2015,9,22,6,-1.8020,103.7020,0.4503E-06,0.1866E-07
2015,9,22,6,-1.7520,103.7020,0.2935E-05,0.3691E-06
2015,9,22,6,-1.7020,103.7020,0.3744E-05,0.5526E-06
2015,9,22,6,-1.6520,103.7020,0.2535E-05,0.4717E-06
2015,9,22,6,-1.6020,103.7020,0.2443E-05,0.2581E-06
2015,9,22,6,-1.5520,103.7020,0.4878E-05,0.4047E-06
2015,9,22,6,-1.5020,103.7020,0.3719E-05,0.3991E-06
2015,9,22,6,-1.4520,103.7020,0.3202E-05,0.3670E-06
2015,9,22,6,-1.4020,103.7020,0.1682E-05,0.2761E-06
2015,9,22,6,-1.3520,103.7020,0.7753E-06,0.1493E-06
2015,9,22,6,-1.3020,103.7020,0.4252E-06,0.6841E-07
2015,9,22,6,-1.2520,103.7020,0.5002E-07,0.9640E-07
2015,9,22,6,-1.2020,103.7020,0.1501E-06,0.7712E-07
2015,9,22,6,-1.1520,103.7020,0.0000E+00,0.5410E-07
2015,9,22,6,-1.1020,103.7020,0.1801E-06,0.0000E+00
2015,9,22,6,-1.0520,103.7020,0.0000E+00,0.1866E-07
2015,9,22,6,-1.0020,103.7020,0.2501E-06,0.0000E+00
2015,9,22,6,-0.9020,103.7020,0.9003E-07,0.0000E+00
2015,9,22,6,-1.8520,103.7520,0.1501E-06,0.3110E-07
2015,9,22,6,-1.8020,103.7520,0.4086E-05,0.4064E-06
2015,9,22,6,-1.7520,103.7520,0.4053E-05,0.5764E-06
2015,9,22,6,-1.7020,103.7520,0.2285E-05,0.4810E-06
2015,9,22,6,-1.6520,103.7520,0.1601E-05,0.2716E-06
2015,9,22,6,-1.6020,103.7520,0.4836E-05,0.3732E-06
2015,9,22,6,-1.5520,103.7520,0.3352E-05,0.5380E-06
2015,9,22,6,-1.5020,103.7520,0.3185E-05,0.4717E-06
2015,9,22,6,-1.4520,103.7520,0.1392E-05,0.2602E-06
2015,9,22,6,-1.4020,103.7520,0.3502E-06,0.9640E-07
2015,9,22,6,-1.3520,103.7520,0.3251E-06,0.4291E-07
2015,9,22,6,-1.3020,103.7520,0.1251E-06,0.1070E-06
2015,9,22,6,-1.2520,103.7520,0.0000E+00,0.7090E-07
2015,9,22,6,-1.2020,103.7520,0.3751E-06,0.8582E-07
2015,9,22,6,-1.1520,103.7520,0.1851E-06,0.3607E-07
2015,9,22,6,-1.1020,103.7520,0.1951E-06,0.6219E-08
2015,9,22,6,-1.0520,103.7520,0.1851E-06,0.1866E-07
